parameter,platformId,platformType,time,longitude,latitude,depth,pressure,value,valueQc
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:16.000Z,52.99418,14.772932,0,,4.142,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:17.000Z,52.980076,14.711677,0,,4.209,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:18.000Z,52.965977,14.650422,0,,3.9570003,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:19.000Z,52.95188,14.589166,0,,3.7180002,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:20.000Z,52.937794,14.527909,0,,3.6050003,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:21.000Z,52.923714,14.466652,0,,3.5540001,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:22.000Z,52.909634,14.405394,0,,3.4770002,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:23.000Z,52.89556,14.344136,0,,3.384,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:24.000Z,52.881496,14.282876,0,,3.2740002,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:25.000Z,52.867435,14.221616,0,,3.1510003,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:26.000Z,52.85338,14.160356,0,,3.0200002,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:27.000Z,52.839325,14.099095,0,,2.884,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:28.000Z,52.82528,14.037833,0,,2.756,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:29.000Z,52.81124,13.97657,0,,2.6550002,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:30.000Z,52.797203,13.915307,0,,2.591,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:31.000Z,52.783173,13.854043,0,,2.5540001,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:33.000Z,52.76915,13.792779,0,,2.523,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:34.000Z,52.755127,13.731514,0,,2.492,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:35.000Z,52.74111,13.670248,0,,2.456,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:36.000Z,52.7271,13.608981,0,,2.4220002,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:37.000Z,52.713097,13.547715,0,,2.39,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:38.000Z,52.699097,13.486447,0,,2.352,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:39.000Z,52.6851,13.425179,0,,2.3140001,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:40.000Z,52.671112,13.36391,0,,2.2740002,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:41.000Z,52.657124,13.302641,0,,2.2350001,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:42.000Z,52.643143,13.241371,0,,2.2,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:43.000Z,52.62917,13.1801,0,,2.1660001,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:44.000Z,52.615196,13.118829,0,,2.1290002,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:45.000Z,52.60123,13.057557,0,,2.0930002,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:46.000Z,52.58727,12.996285,0,,2.062,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:47.000Z,52.573315,12.935012,0,,2.0340002,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:48.000Z,52.55936,12.873738,0,,2.006,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:49.000Z,52.545414,12.812464,0,,1.9740001,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:50.000Z,52.53147,12.751189,0,,1.9420002,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:51.000Z,52.517532,12.689914,0,,1.9050001,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:52.000Z,52.503597,12.628638,0,,1.8640001,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:53.000Z,52.48967,12.567362,0,,1.8230001,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:54.000Z,52.475746,12.506085,0,,1.7850001,1
VAVH,SARAL-Altika,SAT,2023-10-23T14:30:55.000Z,52.461826,12.444807,0,,1.761,1
